city,country,latitude,temp,humidity,cloud,wind
sapele,NG,5.89,74.17,93,100,2.39
thinadhoo,MV,0.53,83.89,76,61,5.66
belaya gora,RU,68.54,62.11,86,100,5.2
the valley,AI,18.22,84.09,69,40,5.7
jamestown,AU,-33.21,50.77,84,99,8.13
rikitea,PF,-23.12,73.63,82,26,7.48
bluff,AU,-23.58,54.19,56,0,1.32
cape town,ZA,-33.93,57.0,82,75,2.1
camapua,BR,-19.53,71.11,42,0,0.98
mataura,NZ,-46.19,44.98,84,100,1.34
riyadh,SA,24.63,89.58,10,0,2.6
debre tabor,ET,11.86,59.05,89,55,1.68
ushuaia,AR,-54.81,37.38,93,75,9.8
provideniya,RU,64.42,55.38,82,75,3
mar del plata,AR,-46.43,43.57,61,0,2.96
faya,SA,18.39,74.32,40,20,2.1
tasiilaq,GL,65.61,40.15,67,17,1.58
busselton,AU,-33.64,42.01,75,65,4.73
qaanaaq,GL,77.48,45.19,49,0,3.54
akdepe,TM,42.05,83.26,42,0,5.1
pevek,RU,69.7,46.63,73,34,3.56
beringovskiy,RU,63.05,66.61,56,0,1.32
portland,US,43.66,67.17,94,40,2.6
yanam,IN,16.73,79.39,88,100,3.37
tuktoyaktuk,CA,69.44,39.18,86,90,5.7
pahrump,US,36.21,102.77,6,1,6.7
punta arenas,CL,-53.16,40.98,86,90,8.2
port elizabeth,US,39.31,79.66,88,75,2.1
upernavik,GL,72.79,45.91,79,0,3.15
severo-kurilsk,RU,50.68,43.03,97,100,3.61
castro,CL,-42.48,46.38,93,75,3.1
ust-shonosha,RU,61.15,37.99,96,0,1.44
longyearbyen,NO,78.22,42.78,87,75,5.7
tarapur,IN,22.49,85.98,66,40,3.1
leningradskiy,RU,69.38,50.23,68,6,3.43
charters towers,AU,-20.07,57.25,58,2,3.46
hermanus,ZA,-34.42,55.97,97,100,0.45
victoria,BN,5.28,75.92,88,75,1
khani,GE,41.96,71.58,94,75,2.6
skibbereen,IE,51.55,60.78,82,75,4.6
santa rita do sapucai,BR,-22.25,53.29,79,0,0.36
srednekolymsk,RU,67.46,80.83,39,10,2.99
ilulissat,GL,69.22,44.58,81,40,2.6
hirara,JP,24.8,83.89,83,0,7.93
yellowknife,CA,62.45,60.78,72,90,2.1
luderitz,NA,-26.65,57.25,77,0,2.88
cabo san lucas,MX,22.89,87.02,45,5,5.1
vaini,IN,15.34,76.33,90,96,1.04
